platform,event_query,search_keyword,search_page,commenter_nickname,commenter_unique_id,commenter_profile_url,chat_url,source_post_id,source_post_url,source_post_author,source_post_published_at,signal_type,signal_text,signal_url,signal_published_at,intent_label,is_demand,confidence,evidence,recommended_action,outreach_angle,needs_agent_review,review_reason,captured_at
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,2,一个甜妹呀-,5837480868,https://weibo.com/5837480868?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5837480868&source_from=,5284266881321082,https://weibo.com/5837480868/Qzmak5xFM?refer_flag=1001030103_,一个甜妹呀-,04月05日 09:01,post,每天都因为没抢到汪苏泷郑州场睡不着连，而且还会在睡梦中惊醒，满脑子就是没抢到票没抢到票@汪苏泷 #汪苏泷明日世界# ​,https://weibo.com/5837480868/Qzmak5xFM?refer_flag=1001030103_,04月05日 09:01,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:38:36+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,2,土土子心上有肖肖,7310071961,https://weibo.com/7310071961?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7310071961&source_from=,5287004935818385,https://weibo.com/7310071961/QAvoxopCV?refer_flag=1001030103_,土土子心上有肖肖,04月12日 22:21,post,汪苏泷超话 请问郑州场还会二开吗？4.3没抢到呜呜呜 ​,https://weibo.com/7310071961/QAvoxopCV?refer_flag=1001030103_,04月12日 22:21,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:38:25+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,2,再吃颗點池吧_,5887980875,https://weibo.com/5887980875?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5887980875&source_from=,5284501640972170,https://weibo.com/5887980875/QzsgY44Ua?refer_flag=1001030103_,再吃颗點池吧_,04月06日 00:33,post,💓241012杭州day1💓 第一次见面 其实暑假就有抢南京郑州 但都没抢到后面看到有杭州了 刚好在杭州上学 就想着一定要去 本来都提前找好dp了 结果朋友居然给我🀄️了个优先购 还开出来了看台第一排（其实后面有点后悔这么好的机会没拿去抢内场 本来以为这是离第一排最近的一次机会了 还好后面 ​ 展开c,https://weibo.com/5887980875/QzsgY44Ua?refer_flag=1001030103_,04月06日 00:33,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:38:14+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,1,Silence西湖醋鱼,6673407457,https://weibo.com/6673407457?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6673407457&source_from=,5288609922157654,https://weibo.com/6673407457/QBb9e93iS?refer_flag=1001030103_,Silence西湖醋鱼,04月17日 12:52 转赞人数超过100,post,各位小泷包早上好🌞 考虑到五一出行热度高，很多小泷包没有抢到前往郑州的高铁/火车，现针对前往郑州的高铁/火车加开进行初步需求收集，如有没抢到火车/高铁票的小泷包请尽快填写问卷~ ⏰请互相转告哦，问卷填写截止今晚0点 (所有信息沉淀至@汪苏泷官方后援会 请放心填写) ​,https://weibo.com/6673407457/QBb9e93iS?refer_flag=1001030103_,04月17日 12:52 转赞人数超过100,明确求票,True,0.79,"['没抢到', '求收']",dm_first,从求票/没抢到切入，确认场次、张数与预算,False,,2026-04-21T04:37:45+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 收票,2,人间理想型汪苏泷,1749947493,https://weibo.com/1749947493?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=1749947493&source_from=,4940213866991460,https://weibo.com/1749947493/NgS94tkNu?refer_flag=1001030103_,人间理想型汪苏泷,2023年08月29日 23:17,post,汪苏泷超话 @汪苏泷 @汪苏泷Studio 上海场咋还不官宣？还有18天了，郑州可是提前22天就开售了#汪苏泷2023世纪派对巡回演唱会##汪苏泷上海演唱会# 也不知道今天收票那姑娘靠谱不 ​,https://weibo.com/1749947493/NgS94tkNu?refer_flag=1001030103_,2023年08月29日 23:17,疑似求票,True,0.67,['收票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:36:49+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 收票,2,星星月亮脆啵啵,6828261435,https://weibo.com/6828261435?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6828261435&source_from=,4935685725751228,https://weibo.com/6828261435/NeYlCo89K?refer_flag=1001030103_,星星月亮脆啵啵,2023年08月17日 11:24,post,汪苏泷超话 想收张680的票在郑州看哥哥 到底在哪收票靠谱哇 好难🤯 ​,https://weibo.com/6828261435/NeYlCo89K?refer_flag=1001030103_,2023年08月17日 11:24,疑似求票,True,0.67,['收票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:36:39+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 收票,2,想多点好运hhh,7186429621,https://weibo.com/7186429621?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7186429621&source_from=,4939137514996157,https://weibo.com/7186429621/Ngq91kXJb?refer_flag=1001030103_,想多点好运hhh,2023年08月27日 00:00,post,汪苏泷超话#汪苏泷郑州# 收票 380或680两张 ​,https://weibo.com/7186429621/Ngq91kXJb?refer_flag=1001030103_,2023年08月27日 00:00,疑似求票,True,0.67,['收票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:36:25+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 收票,2,阿呆sweet,6640463684,https://weibo.com/6640463684?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6640463684&source_from=,4933466732628442,https://weibo.com/6640463684/Ne2CBb1Me?refer_flag=1001030103_,阿呆sweet,2023年08月11日 08:26,post,#汪苏泷# 等我发工资 收票 好想郑州见！ ​,https://weibo.com/6640463684/Ne2CBb1Me?refer_flag=1001030103_,2023年08月11日 08:26,疑似求票,True,0.67,['收票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:36:12+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 收票,2,爱写宇宙的笨蛋,7273838766,https://weibo.com/7273838766?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7273838766&source_from=,4935027990991106,https://weibo.com/7273838766/NeHeL49PA?refer_flag=1001030103_,爱写宇宙的笨蛋,2023年08月15日 15:50,post,即上海之后我又想去郑州了，汪苏泷真的很能诱惑我啊，看了看，感觉郑州的车票时间更适合我，但是也很特种兵但是如果郑州我就要收票了 ​,https://weibo.com/7273838766/NeHeL49PA?refer_flag=1001030103_,2023年08月15日 15:50,疑似求票,True,0.67,['收票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:36:00+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 收票,1,我和朱朱一样爱干饭,5671272555,https://weibo.com/5671272555?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5671272555&source_from=,5049489109287718,https://weibo.com/5671272555/OkLr8CY9U?refer_flag=1001030103_,我和朱朱一样爱干饭,2024年06月26日 12:18,post,汪苏泷超话 现在演唱会是强实名吗？还能收票吗？ 是不是只能找代拍了！！？？ 想去郑州看演唱会啊！！！！ 救救孩子吧！！！ ​,https://weibo.com/5671272555/OkLr8CY9U?refer_flag=1001030103_,2024年06月26日 12:18,疑似求票,True,0.67,['收票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:35:44+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 收票,1,守戒如初,6340315147,https://weibo.com/6340315147?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6340315147&source_from=,5068385347965474,https://weibo.com/6340315147/OsH0Wxqbo?refer_flag=1001030103_,守戒如初,2024年08月17日 15:44,post,汪苏泷超话到郑州了，想跟线下黄牛收一张票，有啥需要注意的不，第一次收票求经验 ​,https://weibo.com/6340315147/OsH0Wxqbo?refer_flag=1001030103_,2024年08月17日 15:44,疑似求票,True,0.67,['收票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:35:34+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 求票,3,多多多多lucky,2265797382,https://weibo.com/2265797382?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=2265797382&source_from=,4941700985520412,https://weibo.com/2265797382/NhuPEna6U?refer_flag=1001030103_,多多多多lucky,2023年09月03日 01:46,post,汪苏泷超话求票:9.3本周日郑州站1张，380票面有人出吗？ 黄牛勿扰。 1.需走平台 2.现场开唱后确认收货🙏🙏🙏 ​,https://weibo.com/2265797382/NhuPEna6U?refer_flag=1001030103_,2023年09月03日 01:46,疑似求票,True,0.67,['求票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:34:38+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 求票,3,下次再路过-,5257014386,https://weibo.com/5257014386?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5257014386&source_from=,4933244536229338,https://weibo.com/5257014386/NdWQdq8xc?refer_flag=1001030103_,下次再路过-,2023年08月10日 17:43,post,#汪苏泷郑州# 到底是谁抢到了汪苏泷郑州演唱会的门票啊？说出来让我羡慕一下？我已经准备了好久了，没有想到还是没抢到 ​,https://weibo.com/5257014386/NdWQdq8xc?refer_flag=1001030103_,2023年08月10日 17:43,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:34:26+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 求票,3,秋秋Aoair,1971358465,https://weibo.com/1971358465?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=1971358465&source_from=,4973022660528072,https://weibo.com/1971358465/NuDEu2dni?refer_flag=1001030103_,秋秋Aoair,2023年11月28日 12:07,post,汪苏泷超话 郑州上海好多回流，可惜我是广州的一点也抢不到呜呜呜 ​,https://weibo.com/1971358465/NuDEu2dni?refer_flag=1001030103_,2023年11月28日 12:07,明确求票,True,0.79,"['抢不到', '回流']",dm_first,从求票/没抢到切入，确认场次、张数与预算,False,,2026-04-21T04:34:14+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 求票,3,肥仔的胖孩,5515876627,https://weibo.com/5515876627?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5515876627&source_from=,4934811691778527,https://weibo.com/5515876627/NeBBT7sFV?refer_flag=1001030103_,肥仔的胖孩,2023年08月15日 01:30,post,#汪苏泷演唱会郑州门票#求票求票郑州求票票票速来 ​,https://weibo.com/5515876627/NeBBT7sFV?refer_flag=1001030103_,2023年08月15日 01:30,疑似求票,True,0.67,['求票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:34:03+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 求票,2,silence-遇见神泷,5342237021,https://weibo.com/5342237021?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5342237021&source_from=,5059298314950118,https://weibo.com/5342237021/OoSCrkLKC?refer_flag=1001030103_,silence-遇见神泷,2024年07月23日 13:56,post,汪苏泷超话#汪苏泷郑州演唱会抢票# 求票，已经陪跑一次 ​,https://weibo.com/5342237021/OoSCrkLKC?refer_flag=1001030103_,2024年07月23日 13:56,疑似求票,True,0.67,['求票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:33:22+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 求票,2,APRILLLLL0408,7479280351,https://weibo.com/7479280351?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7479280351&source_from=,5064353881523591,https://weibo.com/7479280351/Or08A6om3?refer_flag=1001030103_,APRILLLLL0408,2024年08月06日 12:45,post,汪苏泷超话 郑州二开求票，995 ​,https://weibo.com/7479280351/Or08A6om3?refer_flag=1001030103_,2024年08月06日 12:45,疑似求票,True,0.67,['求票'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:33:06+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 求票,2,古古八,5841115065,https://weibo.com/5841115065?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5841115065&source_from=,5037210785023918,https://weibo.com/5841115065/OfC1ol4WW?refer_flag=1001030103_,古古八,2024年05月23日 15:08,post,#那英别说了 汪苏泷快碎了# 汪苏泷碎不碎我不知道，要是汪苏泷演唱会的票没抢到我就先碎了 ·6.23武汉 ·7.7成都 ·7.20南京 ·8.17郑州 总有一场属于我吧！！？ ​,https://weibo.com/5841115065/OfC1ol4WW?refer_flag=1001030103_,2024年05月23日 15:08,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:32:55+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 求票,1,QQ音乐,2169129705,https://weibo.com/2169129705?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=2169129705&source_from=,5282247801831693,https://weibo.com/2169129705/QyvDK7Gvr?refer_flag=1001030103_,QQ音乐,03月30日 19:17,post,#汪苏泷明日世界巡回演唱会# 【郑州站】罗曼宇宙优先购报名抽签结果已发布到罗曼宇宙内，请居民前往查看哦 📢优先购中签居民请注意❗️ ▶ 购票规则 每位中签居民仅可购买本人所中签场次的门票，且每场次限购1张；座位均为随机分配，不支持选座、连坐。 ▶ 名额与场次说明 参与报名的居民可点击 ​ 展开c,https://weibo.com/2169129705/QyvDK7Gvr?refer_flag=1001030103_,03月30日 19:17,疑似求票,True,0.67,['连坐'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:31:51+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷,1,7Rui_7,,,,5290071878273840,https://weibo.com/6296128606/QBNbdyIp2?refer_flag=1001030103_,7Rui_7,今天09:28,detail_comment,对，看台没抢到,https://weibo.com/6296128606/QBNbdyIp2?refer_flag=1001030103_,26-4-21 12:11 来自河南,疑似求票,True,0.67,['没抢到'],reply_first,从评论中的求票/没抢到/蹲票等表达切入，确认场次、张数与预算,True,评论信号较弱，建议 agent 二次确认,2026-04-21T04:19:44+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,1,用户7160461244,,,,5288650633119040,https://weibo.com/2611655743/QBccTd5p6?refer_flag=1001030103_,好想你,04月17日 11:20,detail_comment,#东方枣礼 中原情意##红枣专家好想你#抢不到根本抢不到,https://weibo.com/2611655743/QBccTd5p6?refer_flag=1001030103_,26-4-18 15:25 来自山西,疑似求票,True,0.67,['抢不到'],reply_first,从评论中的求票/没抢到/蹲票等表达切入，确认场次、张数与预算,True,评论信号较弱，建议 agent 二次确认,2026-04-21T03:31:54+00:00
